Time (s)	Position (m)
0.000000	1.000000
0.010000	0.999976
0.020000	0.999928
0.030000	0.999856
0.040000	0.999761
0.050000	0.999642
0.060000	0.999499
0.070000	0.999333
0.080000	0.999144
0.090000	0.998932
0.100000	0.998696
0.110000	0.998437
0.120000	0.998156
0.130000	0.997851
0.140000	0.997524
0.150000	0.997174
0.160000	0.996802
0.170000	0.996407
0.180000	0.995990
0.190000	0.995550
0.200000	0.995089
0.210000	0.994605
0.220000	0.994100
0.230000	0.993572
0.240000	0.993023
0.250000	0.992452
0.260000	0.991860
0.270000	0.991246
0.280000	0.990611
0.290000	0.989955
0.300000	0.989277
0.310000	0.988578
0.320000	0.987859
0.330000	0.987119
0.340000	0.986357
0.350000	0.985576
0.360000	0.984773
0.370000	0.983951
0.380000	0.983107
0.390000	0.982244
0.400000	0.981361
0.410000	0.980457
0.420000	0.979534
0.430000	0.978590
0.440000	0.977627
0.450000	0.976644
0.460000	0.975642
0.470000	0.974621
0.480000	0.973580
0.490000	0.972519
0.500000	0.971440
0.510000	0.970342
0.520000	0.969224
0.530000	0.968088
0.540000	0.966934
0.550000	0.965760
0.560000	0.964568
0.570000	0.963358
0.580000	0.962129
0.590000	0.960882
0.600000	0.959617
0.610000	0.958334
0.620000	0.957034
0.630000	0.955715
0.640000	0.954379
0.650000	0.953025
0.660000	0.951653
0.670000	0.950264
0.680000	0.948858
0.690000	0.947435
0.700000	0.945995
0.710000	0.944537
0.720000	0.943063
0.730000	0.941572
0.740000	0.940064
0.750000	0.938540
0.760000	0.936999
0.770000	0.935442
0.780000	0.933869
0.790000	0.932280
0.800000	0.930674
0.810000	0.929053
0.820000	0.927415
0.830000	0.925762
0.840000	0.924093
0.850000	0.922409
0.860000	0.920709
0.870000	0.918994
0.880000	0.917264
0.890000	0.915519
0.900000	0.913758
0.910000	0.911983
0.920000	0.910193
0.930000	0.908388
0.940000	0.906568
0.950000	0.904734
0.960000	0.902886
0.970000	0.901023
0.980000	0.899146
0.990000	0.897255
1.000000	0.895349
1.010000	0.893430
1.020000	0.891497
1.030000	0.889551
1.040000	0.887591
1.050000	0.885617
1.060000	0.883630
1.070000	0.881629
1.080000	0.879616
1.090000	0.877589
1.100000	0.875549
1.110000	0.873496
1.120000	0.871431
1.130000	0.869353
1.140000	0.867262
1.150000	0.865159
1.160000	0.863043
1.170000	0.860915
1.180000	0.858775
1.190000	0.856623
1.200000	0.854458
1.210000	0.852282
1.220000	0.850094
1.230000	0.847895
1.240000	0.845683
1.250000	0.843461
1.260000	0.841226
1.270000	0.838981
1.280000	0.836724
1.290000	0.834456
1.300000	0.832177
1.310000	0.829888
1.320000	0.827587
1.330000	0.825276
1.340000	0.822954
1.350000	0.820622
1.360000	0.818279
1.370000	0.815926
1.380000	0.813562
1.390000	0.811189
1.400000	0.808805
1.410000	0.806412
1.420000	0.804008
1.430000	0.801595
1.440000	0.799173
1.450000	0.796740
1.460000	0.794299
1.470000	0.791848
1.480000	0.789387
1.490000	0.786918
1.500000	0.784439
1.510000	0.781952
1.520000	0.779456
1.530000	0.776950
1.540000	0.774437
1.550000	0.771914
1.560000	0.769383
1.570000	0.766844
1.580000	0.764296
1.590000	0.761740
1.600000	0.759176
1.610000	0.756604
1.620000	0.754024
1.630000	0.751437
1.640000	0.748841
1.650000	0.746238
1.660000	0.743627
1.670000	0.741009
1.680000	0.738383
1.690000	0.735751
1.700000	0.733111
1.710000	0.730463
1.720000	0.727809
1.730000	0.725148
1.740000	0.722480
1.750000	0.719806
1.760000	0.717124
1.770000	0.714437
1.780000	0.711742
1.790000	0.709042
1.800000	0.706335
1.810000	0.703622
1.820000	0.700902
1.830000	0.698177
1.840000	0.695446
1.850000	0.692709
1.860000	0.689966
1.870000	0.687218
1.880000	0.684464
1.890000	0.681705
1.900000	0.678940
1.910000	0.676170
1.920000	0.673394
1.930000	0.670614
1.940000	0.667828
1.950000	0.665038
1.960000	0.662243
1.970000	0.659443
1.980000	0.656638
1.990000	0.653828
2.000000	0.651015
2.010000	0.648196
2.020000	0.645374
2.030000	0.642547
2.040000	0.639715
2.050000	0.636880
2.060000	0.634041
2.070000	0.631198
2.080000	0.628351
2.090000	0.625500
2.100000	0.622646
2.110000	0.619787
2.120000	0.616926
2.130000	0.614061
2.140000	0.611193
2.150000	0.608321
2.160000	0.605446
2.170000	0.602568
2.180000	0.599687
2.190000	0.596804
2.200000	0.593917
2.210000	0.591027
2.220000	0.588135
2.230000	0.585240
2.240000	0.582343
2.250000	0.579443
2.260000	0.576541
2.270000	0.573637
2.280000	0.570730
2.290000	0.567821
2.300000	0.564910
2.310000	0.561997
2.320000	0.559083
