Time (s)	Position (m)
0.000000	0.999976
0.010000	0.999928
0.020000	0.999856
0.030000	0.999761
0.040000	0.999642
0.050000	0.999499
0.060000	0.999333
0.070000	0.999144
0.080000	0.998932
0.090000	0.998696
0.100000	0.998437
0.110000	0.998156
0.120000	0.997851
0.130000	0.997524
0.140000	0.997174
0.150000	0.996802
0.160000	0.996407
0.170000	0.995990
0.180000	0.995551
0.190000	0.995090
0.200000	0.994606
0.210000	0.994101
0.220000	0.993573
0.230000	0.993024
0.240000	0.992454
0.250000	0.991862
0.260000	0.991248
0.270000	0.990613
0.280000	0.989957
0.290000	0.989279
0.300000	0.988581
0.310000	0.987862
0.320000	0.987122
0.330000	0.986361
0.340000	0.985579
0.350000	0.984777
0.360000	0.983955
0.370000	0.983112
0.380000	0.982249
0.390000	0.981366
0.400000	0.980463
0.410000	0.979540
0.420000	0.978597
0.430000	0.977635
0.440000	0.976652
0.450000	0.975651
0.460000	0.974630
0.470000	0.973589
0.480000	0.972530
0.490000	0.971451
0.500000	0.970353
0.510000	0.969237
0.520000	0.968101
0.530000	0.966947
0.540000	0.965774
0.550000	0.964583
0.560000	0.963374
0.570000	0.962146
0.580000	0.960900
0.590000	0.959636
0.600000	0.958354
0.610000	0.957054
0.620000	0.955736
0.630000	0.954401
0.640000	0.953048
0.650000	0.951677
0.660000	0.950289
0.670000	0.948884
0.680000	0.947462
0.690000	0.946023
0.700000	0.944567
0.710000	0.943094
0.720000	0.941604
0.730000	0.940098
0.740000	0.938575
0.750000	0.937035
0.760000	0.935480
0.770000	0.933908
0.780000	0.932320
0.790000	0.930716
0.800000	0.929096
0.810000	0.927460
0.820000	0.925808
0.830000	0.924141
0.840000	0.922458
0.850000	0.920760
0.860000	0.919047
0.870000	0.917318
0.880000	0.915575
0.890000	0.913816
0.900000	0.912042
0.910000	0.910254
0.920000	0.908451
0.930000	0.906633
0.940000	0.904801
0.950000	0.902955
0.960000	0.901094
0.970000	0.899219
0.980000	0.897330
0.990000	0.895427
1.000000	0.893510
1.010000	0.891579
1.020000	0.889635
1.030000	0.887677
1.040000	0.885705
1.050000	0.883721
1.060000	0.881722
1.070000	0.879711
1.080000	0.877687
1.090000	0.875650
1.100000	0.873599
1.110000	0.871537
1.120000	0.869461
1.130000	0.867373
1.140000	0.865272
1.150000	0.863159
1.160000	0.861034
1.170000	0.858897
1.180000	0.856747
1.190000	0.854586
1.200000	0.852412
1.210000	0.850227
1.220000	0.848031
1.230000	0.845822
1.240000	0.843603
1.250000	0.841371
1.260000	0.839129
1.270000	0.836876
1.280000	0.834611
1.290000	0.832335
1.300000	0.830049
1.310000	0.827752
1.320000	0.825444
1.330000	0.823125
1.340000	0.820796
1.350000	0.818457
1.360000	0.816107
1.370000	0.813747
1.380000	0.811377
1.390000	0.808997
1.400000	0.806608
1.410000	0.804208
1.420000	0.801799
1.430000	0.799380
1.440000	0.796951
1.450000	0.794513
1.460000	0.792066
1.470000	0.789610
